settlement_id,name,admin1,admin2,population,num_buildings,distance_to_grid_km,has_health,has_education,has_nightlight,demand_tier,final_connections,final_demand_mwh,grid_lcoe,minigrid_lcoe,shs_lcoe,grid_cost_per_conn,minigrid_cost_per_conn,shs_cost_per_conn,least_cost_technology,least_cost_lcoe,priority_score
16664,Malanville,Alibori,Malanville,44,17,21.54,0,1,0,Tier2,12.8,1.97,36663.68,,1454.23,12012.21,,400.0,SHS,1454.23,0.2195
5098,Location #7909,Zou,Djidja,108,42,10.62,0,0,0,Tier2,31.3,4.84,7927.91,2130.87,1382.57,2573.21,600.89,400.0,SHS,1382.57,0.1384
781,Dahè,Mono,Houeyogbe,198,77,12.38,0,0,0,Tier2,57.4,8.88,5296.09,2130.87,1394.11,1708.72,600.89,400.0,SHS,1394.11,0.1394
13578,Kouarfa,Atakora,Toucountouna,1297,415,28.22,0,1,0,Tier3,376.2,290.78,535.63,1034.06,1021.69,725.13,1404.46,1500.0,Grid,535.63,0.3524
1644,Bopa,Mono,Bopa,281,109,4.04,0,0,0,Tier3,81.5,63.0,374.91,957.04,834.49,547.08,1538.34,1500.0,Grid,374.91,0.2802
11095,Location #15653,Borgou,Bembereke,41,16,23.61,0,0,0,Tier1,11.9,0.55,142514.86,,2147.93,14098.61,,150.0,SHS,2147.93,0.1162
9122,Tchalinga,Donga,Ouake,106,41,10.55,0,0,0,Tier2,30.7,4.75,8017.51,2130.87,1382.13,2602.64,600.89,400.0,SHS,1382.13,0.1384
3331,Illosso-Saharo,Plateau,Sakete,101,39,0.85,0,0,0,Tier3,29.3,22.64,266.87,889.21,694.61,402.66,1705.69,1500.0,Grid,266.87,0.2994
11298,Takotiéta,Atakora,Boukombe,72,28,36.11,0,0,0,Tier1,20.9,0.97,137150.46,5798.61,2668.76,12303.81,456.51,150.0,SHS,2668.76,0.0987
11071,Location #12525,Borgou,Bembereke,59,23,13.59,0,0,0,Tier2,17.1,2.65,17622.02,2130.87,1402.04,5757.49,600.89,400.0,SHS,1402.04,0.132
1111,Location #13073,Plateau,Sakete,54,21,1.67,0,0,0,Tier3,15.7,12.11,499.39,889.21,695.36,944.59,1705.69,1500.0,Grid,499.39,0.2498
7190,Tchaourou,Borgou,Tchaourou,64,25,14.08,0,1,0,Tier2,18.6,2.87,16863.3,2130.87,1405.26,5508.27,600.89,400.0,SHS,1405.26,0.2314
9347,Karhoum-Dora,Donga,Copargo,36,14,9.59,0,0,0,Tier2,10.4,1.61,17099.88,,1159.74,6626.6,,400.0,SHS,1159.74,0.1371
16667,Kandérou,Alibori,Karimama,85,33,39.17,0,0,0,Tier1,24.7,1.15,126207.24,5798.61,2742.26,11321.42,456.51,150.0,SHS,2742.26,0.0946
9616,Ouenou,Borgou,Nikki,34,13,66.56,0,0,0,Tier1,9.9,0.46,,,3400.18,,,150.0,SHS,3400.18,0.0515
16726,Location #17094,Alibori,Banikoara,21,8,24.77,0,0,0,Tier1,6.1,0.28,289702.91,,2173.21,28669.15,,150.0,SHS,2173.21,0.1137
11969,Kalalé,Borgou,Kalale,268,104,61.46,0,0,0,Tier2,77.7,12.02,,2293.9,1892.62,,587.51,400.0,SHS,1892.62,0.0685
14003,Location #16590,Alibori,Gogounou,31,12,7.72,0,0,0,Tier2,9.0,1.39,16038.92,,1149.43,6213.18,,400.0,SHS,1149.43,0.1397
13780,Sori,Alibori,Gogounou,49,19,5.46,0,0,0,Tier2,14.2,2.2,7507.54,,1136.9,2888.77,,400.0,SHS,1136.9,0.1438
1667,Bopa,Mono,Bopa,67,26,3.97,0,0,0,Tier3,19.4,15.02,930.4,957.04,834.41,1629.37,1538.34,1500.0,SHS,834.41,0.1798
13479,Materi,Atakora,Materi,82,32,17.62,0,0,0,Tier1,23.8,1.11,54483.83,5309.13,2017.29,5384.18,460.54,150.0,SHS,2017.29,0.1269
7646,Tchaourou,Borgou,Tchaourou,52,20,1.63,0,0,0,Tier3,15.1,11.66,505.17,889.21,695.33,958.09,1705.69,1500.0,Grid,505.17,0.2486
17103,KORA SEKO KPAROU,Borgou,Nikki,39,15,59.98,0,0,0,Tier1,11.3,0.53,,,3242.07,,,150.0,SHS,3242.07,0.0616
8221,Location #4166,Borgou,Perere,245,95,3.3,0,0,0,Tier3,71.1,54.93,363.74,957.04,833.67,525.31,1538.34,1500.0,Grid,363.74,0.2821
15697,Banikoara,Alibori,Banikoara,31,12,5.79,0,0,0,Tier2,9.0,1.39,12166.32,,1138.7,4704.15,,400.0,SHS,1138.7,0.1426
12821,Location #6753,Atakora,Kobli,134,52,44.61,0,0,0,Tier2,38.9,6.01,27737.42,2293.9,1770.63,8234.38,587.51,400.0,SHS,1770.63,0.0884
1532,Kpinnou,Mono,Athieme,59,23,2.2,0,0,0,Tier3,17.1,13.23,658.59,957.04,832.45,1099.77,1538.34,1500.0,Grid,658.59,0.2173
8787,Wondou,Borgou,Perere,121,47,14.88,0,0,0,Tier2,35.1,5.43,9740.26,2130.87,1410.56,3168.52,600.89,400.0,SHS,1410.56,0.1325
16683,Malanville,Alibori,Malanville,376,146,17.9,0,0,0,Tier2,109.1,16.86,4200.79,2130.87,1430.36,1348.94,600.89,400.0,SHS,1430.36,0.1382
11924,Kouandé,Atakora,Kouande,36,14,46.36,0,0,0,Tier1,10.4,0.49,348516.55,,2914.94,31278.56,,150.0,SHS,2914.94,0.0819
5802,Location #11322,Collines,Save,67,26,4.59,0,0,0,Tier3,19.4,15.02,1044.66,957.04,835.09,1851.98,1538.34,1500.0,SHS,835.09,0.1788
12421,Location #12026,Atakora,Boukombe,62,24,28.23,0,0,0,Tier1,18.0,0.84,113120.95,5309.13,2248.54,11188.83,460.54,150.0,SHS,2248.54,0.1101
7663,Pénélan,Donga,Bassila,57,22,25.75,0,0,0,Tier1,16.5,0.77,112245.27,5309.13,2194.49,11102.14,460.54,150.0,SHS,2194.49,0.1137
1097,Ahouango,Atlantique,Allada,54,21,0.29,0,0,0,Tier3,15.7,12.11,236.06,889.21,694.09,330.83,1705.69,1500.0,Grid,236.06,0.3045
4035,Aplahoué,Kouffo,Aplahoue,425,165,5.38,0,0,0,Tier2,123.3,19.06,1390.77,1881.62,1136.44,505.27,627.67,400.0,SHS,1136.44,0.1589
11515,Péhunco,Atakora,Pehunco,80,31,61.27,0,0,0,Tier1,23.2,1.08,,5798.61,3273.04,,456.51,150.0,SHS,3273.04,0.0613
15005,Location #11997,Alibori,Banikoara,62,24,20.71,0,0,0,Tier1,18.0,0.84,83552.44,5309.13,2084.74,8261.76,460.54,150.0,SHS,2084.74,0.1214
1758,Ahouango,Atlantique,Allada,332,129,3.05,0,0,0,Tier3,96.3,74.43,310.57,957.04,833.39,421.72,1538.34,1500.0,Grid,310.57,0.2966
8594,Gninsy,Borgou,Perere,57,22,15.43,0,0,0,Tier1,16.5,0.77,68113.92,5309.13,1969.73,6733.46,460.54,150.0,SHS,1969.73,0.1291
16636,Ougoubigo,Alibori,Banikoara,44,17,36.15,0,0,0,Tier1,12.8,0.59,223200.09,,2669.74,20028.66,,150.0,SHS,2669.74,0.0975
8649,Wassa,Donga,Djougou,54,21,5.92,0,0,1,Tier2,15.7,2.42,7398.78,1881.62,1139.46,2846.39,627.67,400.0,SHS,1139.46,0.1433
8932,Djougou,Donga,Djougou,98,38,11.39,0,0,0,Tier2,28.4,4.39,9244.24,2130.87,1387.64,3005.59,600.89,400.0,SHS,1387.64,0.1368
10599,Location #14891,Atakora,Natitingou,46,18,4.2,0,0,0,Tier3,13.3,10.31,1327.65,,834.66,2403.34,,1500.0,SHS,834.66,0.1786
4731,Mlinkpin-Guingnin,Zou,Za-Kpota,276,107,9.42,0,0,0,Tier2,80.1,12.38,2720.87,1881.62,1158.81,1023.56,627.67,400.0,SHS,1158.81,0.1469
4835,Zangnanado,Zou,Zagnanado,307,119,2.77,0,0,0,Tier3,89.0,68.83,308.56,957.04,833.08,417.8,1538.34,1500.0,Grid,308.56,0.2964
347,Ouidah,Atlantique,Ouidah,173,67,14.57,0,0,0,Tier2,50.2,7.76,6891.57,2130.87,1408.51,2232.8,600.89,400.0,SHS,1408.51,0.1351
6792,Ouèssè,Collines,Ouesse,459,178,21.0,0,0,0,Tier2,133.1,20.58,4064.09,2130.87,1450.7,1304.04,600.89,400.0,SHS,1450.7,0.1369
16735,Ankouamon,Alibori,Banikoara,52,20,39.38,0,0,0,Tier1,15.1,0.7,205901.22,5798.61,2747.25,18475.7,456.51,150.0,SHS,2747.25,0.093
