parameter,param_label,value,value_label,is_base,n_settlements,grid_pct,minigrid_pct,shs_pct,mean_lcoe,median_lcoe
discount_rate,Discount Rate,0.05,5 %,False,1000,23.3,0.9,75.8,1128.7,1086.6
discount_rate,Discount Rate,0.08,8 %,False,1000,23.4,0.9,75.7,1305.2,1259.6
discount_rate,Discount Rate,0.1,10 % (base),True,1000,23.4,0.9,75.7,1434.0,1385.6
discount_rate,Discount Rate,0.12,12 %,False,1000,23.4,0.9,75.7,1571.6,1520.1
discount_rate,Discount Rate,0.15,15 %,False,1000,23.4,0.9,75.7,1794.7,1737.9
grid_capex_per_km,Grid Line Cost,4000.0,"$4,000",False,1000,27.9,0.8,71.3,1406.2,1385.6
grid_capex_per_km,Grid Line Cost,5500.0,"$5,500",False,1000,25.7,0.8,73.5,1422.4,1385.6
grid_capex_per_km,Grid Line Cost,7000.0,"$7,000 (base)",True,1000,23.4,0.9,75.7,1434.0,1385.6
grid_capex_per_km,Grid Line Cost,9000.0,"$9,000",False,1000,21.5,1.1,77.4,1445.8,1385.6
grid_capex_per_km,Grid Line Cost,11000.0,"$11,000",False,1000,19.6,1.2,79.2,1454.9,1385.6
shs_cost_multiplier,SHS System Cost,0.7,-30 %,False,1000,19.1,0.0,80.9,1110.4,991.7
shs_cost_multiplier,SHS System Cost,0.85,-15 %,False,1000,21.7,0.0,78.3,1273.9,1188.7
shs_cost_multiplier,SHS System Cost,1.0,Base,True,1000,23.4,0.9,75.7,1434.0,1385.6
shs_cost_multiplier,SHS System Cost,1.15,+15 %,False,1000,24.8,3.3,71.9,1591.4,1582.5
shs_cost_multiplier,SHS System Cost,1.3,+30 %,False,1000,25.6,4.7,69.7,1743.4,1779.5
demand_growth_rate,Demand Growth Rate,0.02,2 %,False,1000,23.2,4.4,72.4,1710.6,1658.5
demand_growth_rate,Demand Growth Rate,0.035,3.5 %,False,1000,23.4,0.9,75.7,1566.4,1516.3
demand_growth_rate,Demand Growth Rate,0.05,5 % (base),True,1000,23.4,0.9,75.7,1434.0,1385.6
demand_growth_rate,Demand Growth Rate,0.07,7 %,False,1000,23.3,0.3,76.4,1274.2,1228.1
demand_growth_rate,Demand Growth Rate,0.09,9 %,False,1000,23.1,0.0,76.9,1131.4,1087.9
minigrid_capex_per_kw,Mini-grid PV+Battery Cost,2500.0,"$2,500",False,1000,21.9,6.0,72.1,1428.3,1385.6
minigrid_capex_per_kw,Mini-grid PV+Battery Cost,3000.0,"$3,000",False,1000,23.2,1.1,75.7,1432.9,1385.6
minigrid_capex_per_kw,Mini-grid PV+Battery Cost,3500.0,"$3,500 (base)",True,1000,23.4,0.9,75.7,1434.0,1385.6
minigrid_capex_per_kw,Mini-grid PV+Battery Cost,4000.0,"$4,000",False,1000,23.4,0.3,76.3,1434.8,1385.6
minigrid_capex_per_kw,Mini-grid PV+Battery Cost,4500.0,"$4,500",False,1000,23.4,0.0,76.6,1434.9,1385.6
